Protein,Ligand,Pose,Score,RMSD,SASA
GPX_Bacillus-subtilis,GSH,1,-4.19249218447794,0.0,293.0126209727437
GPX_Bacillus-subtilis,GSH,2,-3.94231888417745,1.0357274419109068,242.57254130107466
GPX_Bacillus-subtilis,GSH,3,-3.92601901729971,0.9268111735368141,288.16286442663585
GPX_Bacillus-subtilis,GSH,4,-3.8766738671096,0.32316031552655766,288.88609321570516
GPX_Bacillus-subtilis,GSH,5,-3.86404959583039,0.2667423433270183,284.8629227319115
GPX_Bacillus-subtilis,GSH,6,-3.83315032581308,1.0563866563540925,238.6366509319056
GPX_Bacillus-subtilis,GSH,7,-3.71274442016331,0.9024318559242338,262.7064002107108
GPX_Bacillus-subtilis,GSH,8,-3.70677908855071,1.0375092313804455,246.72666212242112
GPX_Bacillus-subtilis,GSH,9,-3.68095813463149,0.3165216405567465,290.5997869962738
GPX_Bacillus-subtilis,GSH,10,-3.67389404120131,1.0353869551354626,308.62423514523056
GPX_Bacillus-subtilis,GSH,11,-3.66931764030094,0.909231420288817,287.0631461175881
GPX_Bacillus-subtilis,GSH,12,-3.65013144900174,0.8908970514043939,294.7183191596605
GPX_Bacillus-subtilis,GSH,13,-3.64940770876852,0.9001636933376955,294.109252408859
GPX_Bacillus-subtilis,GSH,14,-3.63026551447078,0.929580118897005,289.1763933842509
GPX_Bacillus-subtilis,GSH,15,-3.6137673338053,1.0567264614202205,311.40563808827596
GPX_Bacillus-subtilis,GSH,16,-3.60075671355088,0.2962696422709738,267.4375942216627
GPX_Bacillus-subtilis,GSH,17,-3.52055131594288,1.0771855708169458,233.1269835918174
GPX_Bacillus-subtilis,GSH,18,-3.50910830699737,0.2716996511284025,295.3543216712979
GPX_Bacillus-subtilis,GSH,19,-3.50798801327103,0.8759992297034318,278.9371943580929
GPX_Bacillus-subtilis,GSH,20,-3.50060489709577,0.2514847926771298,297.48167879528444
GPX_Bacillus-subtilis,GSH,21,-3.46141691107368,0.383772894364896,271.86919824719087
GPX_Bacillus-subtilis,GSH,22,-3.39842521217721,1.5138065574200315,267.18060430236966
GPX_Bacillus-subtilis,GSH,23,-3.26891318142738,0.2784264415993448,275.4245571432102
GPX_Bacillus-subtilis,GSH,24,-3.23807822734883,1.2480521192490452,287.94788316020566
GPX_Bacillus-subtilis,GSH,25,-3.23449863800261,0.3804355881425797,290.8462704903035
